type,name,iso_country,municipality,iata_code
small_airport,Poplar Hill Airport,CA,Poplar Hill,YHP
small_airport,Chevery Airport,CA,Chevery,YHR
medium_airport,Haines Junction Airport,CA,Haines Junction,YHT
medium_airport,MontrÃ©al / Saint-Hubert Metropolitan Airport,CA,MontrÃ©al,YHU
medium_airport,Hay River / Merlyn Carter Airport,CA,Hay River,YHY
large_airport,Halifax / Stanfield International Airport,CA,Halifax,YHZ
medium_airport,Atikokan Municipal Airport,CA,Atikokan,YIB
medium_airport,Digby / Annapolis Regional Airport,CA,Digby,YDG
medium_airport,St Augustin Airport,CA,St-Augustin,YIF
small_airport,Ivujivik Airport,CA,Ivujivik,YIK
small_airport,Pond Inlet Airport,CA,Pond Inlet,YIO
medium_airport,Island Lake Airport,CA,Island Lake,YIV
small_airport,Jasper Airport,CA,Jasper,YJA
medium_airport,Fort Liard Airport,CA,Fort Liard,YJF
medium_airport,St Jean Airport,CA,St Jean,YJN
medium_airport,Dymond Airport,CA,Stephenville,YJT
medium_airport,Kamloops John Moose Fulton Field Regional Airport,CA,Kamloops,YKA
small_airport,Collins Bay Airport,CA,Collins Bay,YKC
small_airport,Aklavik/Freddie Carmichael Airport,CA,Aklavik,LAK
medium_airport,Region of Waterloo International Airport,CA,Breslau,YKF
small_airport,Kangiqsujuaq (Wakeham Bay) Airport,CA,Kangiqsujuaq,YWB
medium_airport,Key Lake Airport,CA,Key Lake,YKJ
medium_airport,Schefferville Airport,CA,Schefferville,YKL
medium_airport,Kincardine Municipal Airport,CA,Kincardine,YKD
small_airport,Akulivik Airport,CA,Akulivik,AKV
small_airport,Ogoki Post Airport,CA,Ogoki Post,YOG
small_airport,Waskaganish Airport,CA,Waskaganish,YKQ
medium_airport,Kirkland Lake Airport,CA,Kirkland Lake,YKX
medium_airport,Kindersley Airport,CA,Kindersley,YKY
small_airport,Aupaluk Airport,CA,Aupaluk,YPJ
small_airport,Lac La Biche Airport,CA,Lac La Biche,YLB
small_airport,Kimmirut Airport,CA,Kimmirut,YLC
medium_airport,Chapleau Airport,CA,Chapleau,YLD
small_airport,Lansdowne House Airport,CA,Lansdowne House,YLH
medium_airport,Meadow Lake Airport,CA,Meadow Lake,YLJ
small_airport,Lutselk'e Airport,CA,Lutselk'e,YSG
medium_airport,Lloydminster Airport,CA,Lloydminster,YLL
small_airport,La Tuque Airport,CA,La Tuque,YLQ
medium_airport,Leaf Rapids Airport,CA,Leaf Rapids,YLR
medium_airport,Barrie-Lake Simcoe Regional Airport,CA,Barrie,YLK
medium_airport,Alert Airport,CA,Alert,YLT
small_airport,Kangiqsualujjuaq (Georges River) Airport,CA,Kangiqsualujjuaq,XGR
medium_airport,Kelowna International Airport,CA,Kelowna,YLW
medium_airport,Mayo Airport,CA,Mayo,YMA
medium_airport,Matane Airport,CA,Matane,YME
medium_airport,Manitouwadge Airport,CA,Manitouwadge,YMG
small_airport,Mary's Harbour Airport,CA,Mary's Harbour,YMH
medium_airport,Moose Jaw Air Vice Marshal C. M. McEwen Airport,CA,Moose Jaw,YMJ
medium_airport,Charlevoix Airport,CA,Charlevoix,YML
medium_airport,Fort McMurray Airport,CA,Fort McMurray,YMM
medium_airport,Moosonee Airport,CA,Moosonee,YMO
medium_airport,Chapais Airport,CA,Chibougamau,YMT
small_airport,Umiujaq Airport,CA,Umiujaq,YUD
small_airport,Maniwaki Airport,CA,Messines,YMW
medium_airport,Montreal International (Mirabel) Airport,CA,MontrÃ©al,YMX
medium_airport,Natashquan Airport,CA,Natashquan,YNA
small_airport,Wemindji Airport,CA,Wemindji,YNC
medium_airport,Ottawa / Gatineau Airport,CA,Gatineau,YND
small_airport,Norway House Airport,CA,Norway House,YNE
small_airport,Hudson's Hope Airport,CA,Hudson's Hope,YNH
medium_airport,Langley Airport,CA,Langley,YLY
medium_airport,Points North Landing Airport,CA,Points North Landing,YNL
medium_airport,Matagami Airport,CA,Matagami,YNM
small_airport,Fort Mackay / Horizon Airport,CA,Fort Mackay,HZP
medium_airport,Ekati Airport,CA,Ekati,YOA
small_airport,Old Crow Airport,CA,Old Crow,YOC
medium_airport,CFB Cold Lake,CA,Cold Lake,YOD
small_airport,Oxford House Airport,CA,Oxford House,YOH
medium_airport,High Level Airport,CA,High Level,YOJ
medium_airport,Oshawa Executive Airport,CA,Oshawa,YOO
medium_airport,Rainbow Lake Airport,CA,Rainbow Lake,YOP
medium_airport,Owen Sound / Billy Bishop Regional Airport,CA,Owen Sound,YOS
large_airport,Ottawa Macdonald-Cartier International Airport,CA,Ottawa,YOW
medium_airport,Prince Albert Glass Field,CA,Prince Albert,YPA
small_airport,Paulatuk (Nora Aliqatchialuk Ruben) Airport,CA,Paulatuk,YPC
medium_airport,Port Hawkesbury Airport,CA,Port Hawkesbury,YPS
medium_airport,Peace River Airport,CA,Peace River,YPE
medium_airport,Portage-la-Prairie / Southport Airport,CA,Portage la Prairie,YPG
small_airport,Inukjuak Airport,CA,Inukjuak,YPH
medium_airport,Pickle Lake Airport,CA,Pickle Lake,YPL
small_airport,Pikangikum Airport,CA,Pikangikum,YPM
medium_airport,Port-Menier Airport,CA,Port-Menier,YPN
small_airport,Peawanuck Airport,CA,Peawanuck,YPO
medium_airport,Peterborough Municipal Airport,CA,Peterborough,YPQ
medium_airport,Prince Rupert Airport,CA,Prince Rupert,YPR
medium_airport,Powell River Airport,CA,Powell River,YPW
medium_airport,Puvirnituq Airport,CA,Puvirnituq,YPX
medium_airport,Fort Chipewyan Airport,CA,Fort Chipewyan,YPY
medium_airport,Burns Lake Airport,CA,Burns Lake,YPZ
medium_airport,Muskoka Airport,CA,Gravenhurst,YQA
large_airport,Quebec Jean Lesage International Airport,CA,Quebec,YQB
medium_airport,The Pas Airport,CA,The Pas,YQD
medium_airport,Red Deer Regional Airport,CA,Springbrook,YQF
medium_airport,Windsor Airport,CA,Windsor,YQG
medium_airport,Watson Lake Airport,CA,Watson Lake,YQH
medium_airport,Yarmouth Airport,CA,Yarmouth,YQI
medium_airport,Kenora Airport,CA,Kenora,YQK
medium_airport,Lethbridge County Airport,CA,Lethbridge,YQL
medium_airport,Greater Moncton RomÃ©o LeBlanc International Airport,CA,Moncton,YQM
medium_airport,Nakina Airport,CA,Nakina,YQN
medium_airport,Comox Valley Airport / CFB Comox,CA,Comox,YQQ
medium_airport,Regina International Airport,CA,Regina,YQR
medium_airport,St Thomas Municipal Airport,CA,St Thomas,YQS
medium_airport,Thunder Bay Airport,CA,Thunder Bay,YQT
medium_airport,Grande Prairie Airport,CA,Grande Prairie,YQU
medium_airport,Yorkton Municipal Airport,CA,Yorkton,YQV
medium_airport,North Battleford Airport,CA,North Battleford,YQW
medium_airport,Gander International Airport / CFB Gander,CA,Gander,YQX
medium_airport,Sydney / J.A. Douglas McCurdy Airport,CA,Sydney,YQY
medium_airport,Quesnel Airport,CA,Quesnel,YQZ
small_airport,Rae Lakes Airport,CA,GamÃ¨tÃ¬,YRA
medium_airport,Resolute Bay Airport,CA,Resolute Bay,YRB
medium_airport,RiviÃ¨re-du-Loup Airport,CA,RiviÃ¨re-du-Loup,YRI
medium_airport,Roberval Airport,CA,Roberval,YRJ
medium_airport,Red Lake Airport,CA,Red Lake,YRL
small_airport,Rocky Mountain House Airport,CA,Rocky Mountain House,YRM
medium_airport,Ottawa / Rockcliffe Airport,CA,Ottawa,YRO
medium_airport,Trois-RiviÃ¨res Airport,CA,Trois-RiviÃ¨res,YRQ
